GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC02_VC03,HC03_VC03,HC04_VC03,HC01_VC32,HC02_VC32,HC03_VC32,HC04_VC32,HC01_VC34,HC02_VC34,HC03_VC34,HC04_VC34,HC01_VC37,HC02_VC37,HC03_VC37,HC04_VC37,HC01_VC39,HC02_VC39,HC03_VC39,HC04_VC39,HC01_VC43,HC02_VC43,HC03_VC43,HC04_VC43,HC01_VC44,HC02_VC44,HC03_VC44,HC04_VC44,HC01_VC45,HC02_VC45,HC03_VC45,HC04_VC45,HC01_VC48,HC02_VC48,HC03_VC48,HC04_VC48,HC01_VC49,HC02_VC49,HC03_VC49,HC04_VC49,HC01_VC50,HC02_VC50,HC03_VC50,HC04_VC50,HC01_VC51,HC02_VC51,HC03_VC51,HC04_VC51,HC01_VC55,HC02_VC55,HC03_VC55,HC04_VC55,HC01_VC56,HC02_VC56,HC03_VC56,HC04_VC56,HC01_VC63,HC02_VC63,HC03_VC63,HC04_VC63,HC01_VC64,HC02_VC64,HC03_VC64,HC04_VC64,HC01_VC68,HC02_VC68,HC03_VC68,HC04_VC68,HC01_VC70,HC02_VC70,HC03_VC70,HC04_VC70,HC01_VC74,HC02_VC74,HC03_VC74,HC04_VC74,HC01_VC77,HC02_VC77,HC03_VC77,HC04_VC77,HC01_VC78,HC02_VC78,HC03_VC78,HC04_VC78,HC01_VC79,HC02_VC79,HC03_VC79,HC04_VC79,HC01_VC87,HC02_VC87,HC03_VC87,HC04_VC87,HC01_VC88,HC02_VC88,HC03_VC88,HC04_VC88,HC01_VC89,HC02_VC89,HC03_VC89,HC04_VC89,HC01_VC93,HC02_VC93,HC03_VC93,HC04_VC93,HC01_VC94,HC02_VC94,HC03_VC94,HC04_VC94,HC01_VC95,HC02_VC95,HC03_VC95,HC04_VC95,HC01_VC100,HC02_VC100,HC03_VC100,HC04_VC100,HC01_VC102,HC02_VC102,HC03_VC102,HC04_VC102,HC01_VC104,HC02_VC104,HC03_VC104,HC04_VC104
1400000US17001001001,17001001001,"Census Tract 10.01, Adams County, Illinois",3640,325,3640,(X),2648,189,2648,(X),1384,102,52.3,3.3,525,77,525,(X),324,61,61.7,8.2,3640,325,3640,(X),3601,322,98.9,1.3,39,48,1.1,1.3,3601,322,98.9,1.3,3465,335,95.2,3.0,87,72,2.4,2.0,0,11,0.0,0.8,0,11,0.0,0.8,30,37,0.8,1.0,0,11,0.0,0.8,0,11,0.0,0.8,0,11,0.0,0.8,39,48,1.1,1.3,0,11,0.0,0.8,3640,325,3640,(X),3504,335,96.3,2.4,116,91,3.2,2.5,3640,325,3640,(X),38,41,1.0,1.1,19,33,0.5,0.9,3602,324,99.0,1.1,3446,334,94.7,3.0,87,72,2.4,2.0,39,48,1.1,1.3,39,48,1.1,1.3,1531,48,(X),(X)
1400000US17001001002,17001001002,"Census Tract 10.02, Adams County, Illinois",3198,299,3198,(X),2470,190,2470,(X),1451,131,58.7,4.3,906,114,906,(X),561,97,61.9,7.9,3198,299,3198,(X),3150,304,98.5,1.7,48,55,1.5,1.7,3150,304,98.5,1.7,3071,312,96.0,2.7,56,55,1.8,1.8,13,24,0.4,0.7,0,11,0.0,0.9,0,11,0.0,0.9,0,11,0.0,0.9,0,11,0.0,0.9,0,11,0.0,0.9,48,55,1.5,1.7,0,11,0.0,0.9,3198,299,3198,(X),3119,308,97.5,2.2,66,60,2.1,1.9,3198,299,3198,(X),11,18,0.3,0.6,0,11,0.0,0.9,3187,298,99.7,0.6,3070,312,96.0,2.7,56,55,1.8,1.8,48,55,1.5,1.7,48,55,1.5,1.7,1396,50,(X),(X)
1400000US17001001100,17001001100,"Census Tract 11, Adams County, Illinois",7974,361,7974,(X),6075,238,6075,(X),2987,174,49.2,2.6,1473,101,1473,(X),699,98,47.5,5.5,7974,361,7974,(X),7826,380,98.1,1.4,148,115,1.9,1.4,7826,380,98.1,1.4,7248,405,90.9,2.5,107,118,1.3,1.5,11,23,0.1,0.3,0,16,0.0,0.4,367,147,4.6,1.8,314,139,3.9,1.7,0,16,0.0,0.4,0,16,0.0,0.4,148,115,1.9,1.4,0,16,0.0,0.4,7974,361,7974,(X),7396,403,92.8,2.5,214,151,2.7,1.9,7974,361,7974,(X),184,131,2.3,1.6,123,93,1.5,1.2,7790,368,97.7,1.6,7187,403,90.1,2.5,107,118,1.3,1.5,129,110,1.6,1.4,129,110,1.6,1.4,3355,106,(X),(X)
1400000US17001010100,17001010100,"Census Tract 101, Adams County, Illinois",4073,245,4073,(X),3089,166,3089,(X),1573,89,50.9,2.0,787,76,787,(X),421,58,53.5,5.8,4073,245,4073,(X),4063,244,99.8,0.3,10,12,0.2,0.3,4063,244,99.8,0.3,4045,246,99.3,0.5,6,12,0.1,0.3,0,11,0.0,0.7,0,11,0.0,0.7,8,9,0.2,0.2,5,7,0.1,0.2,0,11,0.0,0.7,0,11,0.0,0.7,10,12,0.2,0.3,0,11,0.0,0.7,4073,245,4073,(X),4055,246,99.6,0.4,14,16,0.3,0.4,4073,245,4073,(X),121,87,3.0,2.1,114,86,2.8,2.1,3952,244,97.0,2.1,3928,246,96.4,2.2,6,12,0.1,0.3,10,12,0.2,0.3,10,12,0.2,0.3,1864,94,(X),(X)
1400000US17001010200,17001010200,"Census Tract 102, Adams County, Illinois",3712,232,3712,(X),2897,180,2897,(X),1418,97,48.9,2.5,736,82,736,(X),390,56,53.0,5.3,3712,232,3712,(X),3650,234,98.3,1.0,62,38,1.7,1.0,3650,234,98.3,1.0,3586,238,96.6,1.6,43,41,1.2,1.1,21,25,0.6,0.7,0,11,0.0,0.8,0,11,0.0,0.8,0,11,0.0,0.8,0,11,0.0,0.8,0,11,0.0,0.8,62,38,1.7,1.0,0,11,0.0,0.8,3712,232,3712,(X),3648,236,98.3,1.3,63,44,1.7,1.2,3712,232,3712,(X),14,17,0.4,0.5,5,8,0.1,0.2,3698,232,99.6,0.5,3577,237,96.4,1.7,43,41,1.2,1.1,57,36,1.5,1.0,54,36,1.5,1.0,1683,84,(X),(X)
1400000US17001010300,17001010300,"Census Tract 103, Adams County, Illinois",6128,341,6128,(X),4592,210,4592,(X),2278,172,49.6,2.7,820,102,820,(X),434,74,52.9,5.9,6128,341,6128,(X),6124,341,99.9,0.1,4,8,0.1,0.1,6124,341,99.9,0.1,6065,338,99.0,0.9,50,54,0.8,0.9,9,14,0.1,0.2,0,16,0.0,0.5,0,16,0.0,0.5,0,16,0.0,0.5,0,16,0.0,0.5,0,16,0.0,0.5,4,8,0.1,0.1,0,16,0.0,0.5,6128,341,6128,(X),6069,337,99.0,0.9,50,54,0.8,0.9,6128,341,6128,(X),76,76,1.2,1.2,51,71,0.8,1.1,6052,335,98.8,1.2,5993,331,97.8,1.5,50,54,0.8,0.9,0,16,0.0,0.5,0,16,0.0,0.5,2451,118,(X),(X)
1400000US17001010400,17001010400,"Census Tract 104, Adams County, Illinois",3336,358,3336,(X),2619,287,2619,(X),1251,159,47.8,2.7,573,98,573,(X),265,52,46.2,5.4,3336,358,3336,(X),3336,358,100.0,0.9,0,11,0.0,0.9,3336,358,100.0,0.9,3327,358,99.7,0.5,0,11,0.0,0.9,0,11,0.0,0.9,0,11,0.0,0.9,9,16,0.3,0.5,0,11,0.0,0.9,0,11,0.0,0.9,0,11,0.0,0.9,0,11,0.0,0.9,0,11,0.0,0.9,3336,358,3336,(X),3327,358,99.7,0.5,0,11,0.0,0.9,3336,358,3336,(X),0,11,0.0,0.9,0,11,0.0,0.9,3336,358,100.0,0.9,3327,358,99.7,0.5,0,11,0.0,0.9,0,11,0.0,0.9,0,11,0.0,0.9,1401,141,(X),(X)
1400000US17001010500,17001010500,"Census Tract 105, Adams County, Illinois",2987,193,2987,(X),2373,167,2373,(X),1237,100,52.1,2.7,670,144,670,(X),384,91,57.3,7.5,2987,193,2987,(X),2959,192,99.1,1.1,28,32,0.9,1.1,2959,192,99.1,1.1,2920,197,97.8,2.1,39,36,1.3,1.2,0,11,0.0,1.0,0,11,0.0,1.0,0,11,0.0,1.0,0,11,0.0,1.0,0,11,0.0,1.0,0,11,0.0,1.0,28,32,0.9,1.1,0,11,0.0,1.0,2987,193,2987,(X),2948,193,98.7,1.2,57,59,1.9,2.0,2987,193,2987,(X),0,11,0.0,1.0,0,11,0.0,1.0,2987,193,100.0,1.0,2920,197,97.8,2.1,39,36,1.3,1.2,28,32,0.9,1.1,28,32,0.9,1.1,1297,77,(X),(X)
1400000US17001010600,17001010600,"Census Tract 106, Adams County, Illinois",6054,305,6054,(X),4681,278,4681,(X),2431,184,51.9,2.7,923,116,923,(X),527,98,57.1,7.7,6054,305,6054,(X),6028,309,99.6,0.5,26,29,0.4,0.5,6028,309,99.6,0.5,5982,317,98.8,0.9,30,30,0.5,0.5,0,16,0.0,0.5,0,16,0.0,0.5,1,3,0.0,0.1,0,16,0.0,0.5,0,16,0.0,0.5,0,16,0.0,0.5,26,29,0.4,0.5,0,16,0.0,0.5,6054,305,6054,(X),6008,312,99.2,0.7,56,49,0.9,0.8,6054,305,6054,(X),0,16,0.0,0.5,0,16,0.0,0.5,6054,305,100.0,0.5,5982,317,98.8,0.9,30,30,0.5,0.5,26,29,0.4,0.5,26,29,0.4,0.5,2550,182,(X),(X)
1400000US17003957600,17003957600,"Census Tract 9576, Alexander County, Illinois",2821,212,2821,(X),2356,194,2356,(X),995,107,42.2,3.7,448,76,448,(X),206,49,46.0,6.0,2821,212,2821,(X),2713,207,96.2,2.2,108,62,3.8,2.2,2713,207,96.2,2.2,2187,214,77.5,5.1,491,139,17.4,4.7,13,14,0.5,0.5,9,14,0.3,0.5,15,11,0.5,0.4,0,11,0.0,1.1,0,11,0.0,1.1,0,11,0.0,1.1,108,62,3.8,2.2,9,14,0.3,0.5,2821,212,2821,(X),2286,219,81.0,4.9,566,154,20.1,5.1,2821,212,2821,(X),39,24,1.4,0.8,9,13,0.3,0.5,2782,208,98.6,0.8,2165,210,76.7,5.0,491,139,17.4,4.7,98,64,3.5,2.2,98,64,3.5,2.2,1158,93,(X),(X)
1400000US17003957700,17003957700,"Census Tract 9577, Alexander County, Illinois",2146,209,2146,(X),1647,184,1647,(X),809,114,49.1,4.0,424,85,424,(X),225,57,53.1,8.1,2146,209,2146,(X),2141,210,99.8,0.5,5,10,0.2,0.5,2141,210,99.8,0.5,1738,210,81.0,6.4,400,144,18.6,6.3,1,3,0.0,0.1,0,11,0.0,1.4,2,4,0.1,0.2,0,11,0.0,1.4,0,11,0.0,1.4,0,11,0.0,1.4,5,10,0.2,0.5,0,11,0.0,1.4,2146,209,2146,(X),1743,208,81.2,6.3,400,144,18.6,6.3,2146,209,2146,(X),75,48,3.5,2.2,45,52,2.1,2.4,2071,201,96.5,2.2,1666,198,77.6,6.2,400,144,18.6,6.3,2,6,0.1,0.3,2,6,0.1,0.3,1083,89,(X),(X)
