Name,License Description,Application Type,License Term Start Date,License Term Expiration Date,Date Issued,Latitude,Longitude,Location
Cosmo Beauty And Hair Inc.,Limited Business License,Renew,07-16-2013,07-15-2015,07-08-2013,41.67758559,-87.6648084,"(41.67758558895323, -87.66480840227675)"
Fleetwood Restaurant,Retail Food Establishment,Issue,10-18-2013,11-15-2015,10-18-2013,41.85011799,-87.62358911,"(41.850117993407025, -87.62358910641399)"
United Auto Group Inc.,Limited Business License,Renew,05-16-2015,05-15-2017,04-22-2015,41.89015871,-87.74578577,"(41.89015870592148, -87.74578577411086)"
Mike'S Flower Shop Inc,Limited Business License,Renew,08-16-2014,08-15-2016,08-12-2014,41.99922806,-87.78975729,"(41.99922805793047, -87.78975728710643)"
Old World Bakery,Retail Food Establishment,Issue,04-07-2014,04-15-2016,04-07-2014,41.97594853,-87.67755853,"(41.97594853391421, -87.67755853107322)"
Just Desserts 4 You - Ms. Tittle'S Cupcakes Corp.,Food - Shared Kitchen Long-Term User,Issue,05-03-2013,05-15-2015,05-03-2013,41.76362238,-87.66999948,"(41.76362238100978, -87.66999948221357)"
Stans Donuts,Retail Food Establishment,Issue,02-04-2014,02-15-2016,02-04-2014,41.9099952,-87.67759909,"(41.909995199415974, -87.67759908709834)"
"Appliance 95, Inc.",Limited Business License,Renew,01-16-2014,01-15-2016,12-12-2013,41.72150568,-87.63180759,"(41.721505683972055, -87.63180759116948)"
Prettis Blumingburg,Peddler License,Issue,09-08-2014,05-15-2015,09-08-2014,41.8709534,-87.75354014,"(41.87095340116042, -87.75354014055799)"
Mobil,Tobacco Retail Over Counter,Renew,10-16-2014,10-15-2016,10-02-2014,41.79419949,-87.63192548,"(41.79419948541374, -87.63192548249236)"
Dear Sub,Retail Food Establishment,Renew,07-16-2014,07-15-2016,08-12-2014,41.90952245,-87.7456088,"(41.90952245215142, -87.7456087945659)"
Lincoln Park Athletic Club,Regulated Business License,Renew,03-16-2014,03-15-2016,02-18-2014,41.93251248,-87.65468846,"(41.9325124748009, -87.65468846277851)"
Taste Of Chicago,Retail Food Establishment,Issue,07-24-2013,06-15-2015,07-24-2013,41.67039443,-87.64151373,"(41.67039442848964, -87.6415137299169)"
Weather Mark Tavern,Retail Food Establishment,Renew,10-16-2014,10-15-2016,10-20-2014,41.86183111,-87.62387913,"(41.86183110633302, -87.62387912993134)"
Crowbar Lounge,Retail Food Establishment,Renew,07-16-2014,07-15-2016,07-24-2014,41.70258228,-87.52694018,"(41.70258228222225, -87.52694017548112)"
Burrito Station,Retail Food Establishment,Renew,01-16-2015,01-15-2017,12-24-2014,41.69180292,-87.69038573,"(41.6918029183953, -87.69038573111922)"
Planet Fitness,Regulated Business License,Renew,06-16-2014,06-15-2016,06-19-2014,41.81436917,-87.72368311,"(41.81436916492959, -87.7236831126996)"
Abc Choice,Tobacco Retail Over Counter,Renew,07-16-2014,07-15-2016,06-25-2014,41.75021222,-87.66328476,"(41.75021221701967, -87.6632847593253)"
Sni Companies,Limited Business License,Renew,11-16-2013,11-15-2015,11-21-2013,41.87949547,-87.63382966,"(41.879495472483235, -87.63382966060512)"
2040 Amber P.C.,Limited Business License,Renew,11-16-2013,11-15-2015,10-04-2013,41.92147732,-87.67928892,"(41.92147731723847, -87.67928892317536)"
Sorelle,Limited Business License,Issue,04-22-2015,05-15-2017,04-22-2015,41.90311759,-87.67504907,"(41.903117591352284, -87.6750490656329)"
Victor'S Tax And Services,Limited Business License,Renew,01-16-2015,01-15-2017,12-15-2014,41.92001512,-87.77203046,"(41.920015118053925, -87.7720304568703)"
Studio I 90,Limited Business License,Renew,11-16-2014,11-15-2016,12-23-2014,41.91789331,-87.67626201,"(41.91789330962089, -87.67626201107961)"
Mishka Telcom,Limited Business License,Issue,02-04-2015,02-15-2017,02-04-2015,41.96852201,-87.71237951,"(41.968522006933206, -87.71237950497346)"
S H Bell Company,Regulated Business License,Renew,07-16-2014,07-15-2016,06-25-2014,41.70942663,-87.54036373,"(41.70942662614203, -87.54036372499694)"
Plan B Inc,Limited Business License,Renew,05-16-2014,05-15-2016,04-01-2014,41.89092004,-87.63187853,"(41.89092003779008, -87.63187852965801)"
"Estes Builders, Inc.",Regulated Business License,Issue,02-24-2014,03-15-2016,02-24-2014,42.01189374,-87.78360004,"(42.01189374036079, -87.78360004252742)"
Terminal Getaway Spa,Massage Establishment,Issue,01-23-2014,02-15-2016,01-23-2014,42.0085364,-87.91442844,"(42.008536400868735, -87.91442843927047)"
7-Eleven,Package Goods,Renew,07-16-2014,07-15-2016,07-21-2014,41.6991936,-87.53513476,"(41.69919360062641, -87.5351347557681)"
Pepe'S Mexican Restaurant,Consumption on Premises - Incidental Activity,Renew,10-16-2013,10-15-2015,10-15-2013,41.77884294,-87.70438274,"(41.77884293773486, -87.70438273776571)"
Bridgestone Firestone First Stop Auto,Motor Vehicle Services License,Renew,03-16-2015,03-15-2017,02-20-2015,41.8056661,-87.72337112,"(41.805666096895685, -87.72337111562022)"
Urban Imaging & Design,Limited Business License,Renew,12-16-2014,12-15-2016,11-18-2014,41.94035986,-87.69994693,"(41.94035986164543, -87.6999469318551)"
A & R Food Mart,Retail Food Establishment,Renew,01-16-2015,01-15-2017,01-14-2015,41.92059646,-87.77519268,"(41.9205964582011, -87.77519268085403)"
Exquisite Llc,Limited Business License,Renew,06-16-2013,06-15-2015,06-10-2013,41.85265429,-87.65308818,"(41.85265428762811, -87.65308817724464)"
"Racine Paper Box Mfg., Inc.",Manufacturing Establishments,Renew,11-16-2013,11-15-2015,11-18-2013,41.90468531,-87.71521578,"(41.90468531404716, -87.71521578293739)"
Ri-Del Mfg Inc,Manufacturing Establishments,Renew,09-16-2014,09-15-2016,10-22-2014,41.88615258,-87.67160208,"(41.88615258421583, -87.67160207477103)"
Pompei On Sheffield,Consumption on Premises - Incidental Activity,Issue,02-27-2015,03-15-2017,02-27-2015,41.93603915,-87.65382872,"(41.93603914598557, -87.65382872321025)"
Brown Sugar Bakery & Cafe,Retail Food Establishment,Issue,03-16-2015,03-15-2017,03-16-2015,41.75848032,-87.6172109,"(41.75848031626892, -87.61721089479008)"
Zhou B Cafe,Retail Food Establishment,Renew,01-16-2014,01-15-2016,01-30-2014,41.83056217,-87.65207146,"(41.83056217168524, -87.652071457055)"
Foremost Liquors,Tobacco Retail Over Counter,Renew,11-16-2013,11-15-2015,10-28-2013,41.90997097,-87.70949762,"(41.90997097432308, -87.70949761510845)"
Riff,Tavern,Issue,10-25-2013,10-15-2015,10-25-2013,41.85174715,-87.62362776,"(41.85174714610376, -87.6236277575538)"
"Cvs Indiana, L.L.C.",Tobacco Dealer Wholesale,Renew,05-16-2015,05-15-2017,04-22-2015,,,
Wilbert Lewig,Peddler License,Issue,07-02-2013,07-15-2015,07-02-2013,41.77421407,-87.66880737,"(41.774214068672826, -87.66880736683129)"
Eliot House,Accessory Garage,Renew,04-16-2014,04-15-2016,05-19-2014,41.90555929,-87.63200845,"(41.905559285994315, -87.63200845108385)"
Pete'S Fresh Market,Retail Food Establishment,Renew,07-16-2014,07-15-2016,07-10-2014,41.68105956,-87.53936754,"(41.68105955550191, -87.53936754137594)"
Plymouth Tube Company,Limited Business License,Renew,01-16-2015,01-15-2017,12-08-2014,41.91688124,-87.74088488,"(41.91688123855478, -87.7408848747881)"
Jacobs Project Management Co.,Limited Business License,Renew,09-16-2014,09-15-2016,08-04-2014,41.88046315,-87.64080388,"(41.880463147078466, -87.6408038842781)"
5411 Empanadas,Retail Food Establishment,Renew,07-16-2014,07-15-2016,05-28-2014,41.93397981,-87.64601179,"(41.933979804573255, -87.64601179219122)"
Dunkin Donut,Retail Food Establishment,Renew,08-16-2013,08-15-2015,08-15-2013,41.98352906,-87.65915456,"(41.98352906115736, -87.65915456081615)"
Carters..,Limited Business License,Issue,06-11-2014,06-15-2016,06-11-2014,41.85176149,-87.71606883,"(41.85176148733653, -87.71606883172386)"
Montrose Bp,Filling Station,Renew,12-16-2014,12-15-2016,11-24-2014,41.96107675,-87.7083086,"(41.96107675182957, -87.70830859683916)"
Fetch! Petcare Of Chicago Loop-Lincoln Park,Regulated Business License,Renew,01-16-2014,01-15-2016,01-09-2014,41.77516731,-87.74803187,"(41.77516731391602, -87.74803187040366)"
Mcm Pub & Liquors,Package Goods,Renew,08-16-2013,08-15-2015,08-07-2013,41.95178807,-87.74741981,"(41.951788071374104, -87.74741980822624)"
J.P.E. Day Care Center,Children's Services Facility License,Renew,10-16-2014,10-15-2016,12-18-2014,41.73769947,-87.60470701,"(41.737699470982605, -87.60470700986774)"
Blue Bayou,Retail Food Establishment,Renew,06-16-2014,06-15-2016,10-16-2014,41.9499392,-87.66424343,"(41.94993920264151, -87.6642434255836)"
Lawrel Liquors,Tobacco Retail Over Counter,Renew,03-16-2015,03-15-2017,03-16-2015,41.96799336,-87.74072635,"(41.96799335620968, -87.74072634914224)"
Ribs R Us,Retail Food Establishment,Renew,04-16-2014,04-15-2016,05-05-2014,41.88184591,-87.72585415,"(41.88184591068643, -87.7258541523999)"
"S80, Llc",Limited Business License,Renew,05-16-2013,05-15-2015,05-14-2013,41.95955451,-87.67406934,"(41.959554510988085, -87.67406933768778)"
The Odyssey 11 Lounge,Tavern,Renew,07-16-2013,07-15-2015,07-03-2013,41.7942922,-87.62034792,"(41.79429220010901, -87.62034791634755)"
Embeya,Consumption on Premises - Incidental Activity,Renew,09-16-2014,09-15-2016,07-29-2014,41.8845434,-87.64233139,"(41.884543397737836, -87.64233138672651)"
Chicago Center For Music Education,Raffles,Renew,11-16-2014,11-15-2015,11-05-2014,41.89634413,-87.65713717,"(41.89634413246758, -87.65713717046978)"
75Th & State Shell,Tobacco Retail Over Counter,Renew,10-16-2014,10-15-2016,09-12-2014,41.75843267,-87.624618,"(41.75843267275446, -87.62461799573633)"
Kids R First Learning Academy,Children's Services Facility License,Renew,07-16-2014,07-15-2016,07-08-2014,41.74675128,-87.65340876,"(41.74675127864962, -87.65340876316907)"
Morales Cleaning Services,Regulated Business License,Issue,09-05-2013,09-15-2015,09-05-2013,41.74080142,-87.55257015,"(41.74080141730221, -87.55257014660751)"
"1St Hunan Spring, Inc.",Retail Food Establishment,Issue,01-23-2014,02-15-2016,01-23-2014,41.97704127,-87.75442839,"(41.97704126868173, -87.75442838864393)"
Rgr Cleaning Services,Regulated Business License,Issue,09-12-2013,09-15-2015,09-12-2013,41.72465112,-87.55163742,"(41.72465111964408, -87.55163742158926)"
Charlie'S Raw & Cooked Fish,Retail Food Establishment,Issue,03-12-2014,03-15-2016,03-12-2014,41.70679286,-87.64443892,"(41.70679286000726, -87.64443891865488)"
Carnitas Y Supermercado El Gigante Inc,Retail Food Establishment,Renew,01-16-2015,01-15-2017,11-26-2014,41.92600643,-87.75636298,"(41.92600642686074, -87.75636298203145)"
Chen'S Garden,Retail Food Establishment,Renew,12-16-2013,12-15-2015,11-25-2013,41.96223481,-87.72771372,"(41.96223481162694, -87.72771371816451)"
Mariscos El Abuelo Y Yo Seafood,Retail Food Establishment,Renew,06-16-2013,06-15-2015,06-04-2013,41.82444711,-87.70459624,"(41.8244471105655, -87.704596235788)"
Subway,Retail Food Establishment,Issue,07-11-2013,07-15-2015,07-11-2013,41.91849214,-87.64866909,"(41.91849213778706, -87.64866909416301)"
Nite Cap,Late Hour,Renew,07-16-2013,08-15-2015,08-14-2013,41.9532425,-87.75253199,"(41.95324249980824, -87.75253198482571)"
Heartland Cafe,Consumption on Premises - Incidental Activity,Issue,02-27-2015,03-15-2017,02-27-2015,42.00917698,-87.6663694,"(42.00917697647974, -87.66636939865349)"
North & Paulina Cleaners,Regulated Business License,Issue,06-09-2014,06-15-2016,06-09-2014,41.91070611,-87.6701982,"(41.9107061083358, -87.67019820416505)"
Happy Arts,Performing Arts Venue,Issue,03-16-2015,04-15-2017,03-16-2015,41.9540554,-87.70383364,"(41.95405539635035, -87.70383363572144)"
T. Kosciuszko School Of Polish Language,Children's Services Facility License,Issue,06-05-2014,06-15-2016,06-05-2014,41.9782927,-87.80685049,"(41.97829269931736, -87.80685048832387)"
Maxwell Charcoal Grill,Retail Food Establishment,Renew,07-16-2014,07-15-2016,06-30-2014,41.73650529,-87.66293523,"(41.73650528840047, -87.6629352326755)"
Golden Wok Restaurant,Retail Food Establishment,Issue,04-22-2015,05-15-2017,04-22-2015,41.98580965,-87.76813467,"(41.9858096493191, -87.76813467281237)"
Transpac Imports Inc,Limited Business License,Renew,05-16-2014,05-15-2016,05-19-2014,41.88807428,-87.6349552,"(41.8880742810662, -87.63495520292739)"
Sherri L. Clark,Peddler License,Issue,06-12-2014,06-15-2016,06-12-2014,41.69395293,-87.65235825,"(41.69395293261994, -87.65235825210786)"
Golo,Retail Food Establishment,Renew,09-16-2013,09-15-2015,03-26-2014,41.69984693,-87.6424673,"(41.699846928380765, -87.64246730125315)"
"Monarch Promotional Merchandising, Inc.",Regulated Business License,Issue,04-25-2013,05-15-2015,04-25-2013,41.87063499,-87.62727753,"(41.87063499080216, -87.62727753012125)"
Miller Carbonic Inc,Limited Business License,Renew,01-16-2014,01-15-2016,01-16-2014,41.8191153,-87.6397587,"(41.81911530413486, -87.6397587005798)"
J & R Barber Shop,Limited Business License,Renew,12-16-2014,12-15-2016,12-04-2014,41.76269493,-87.56969477,"(41.762694926913106, -87.56969477438099)"
"Big Sam'S Food & Liquor, Inc.",Tobacco Retail Over Counter,Renew,06-16-2013,06-15-2015,12-05-2013,41.76864452,-87.66536128,"(41.76864451708512, -87.66536127801658)"
Grand Marathon,Tobacco Retail Over Counter,Renew,01-16-2015,01-15-2017,01-15-2015,41.91734276,-87.75580431,"(41.91734275592064, -87.7558043109553)"
Ridgeview Rehab & Nursing Center,Regulated Business License,Renew,10-16-2014,10-15-2016,10-16-2014,41.99930759,-87.67761046,"(41.999307593459875, -87.67761046424103)"
American Roofing & Repair; And E.W. Olson Roofing,Limited Business License,Renew,05-16-2014,05-15-2016,04-21-2014,41.88305802,-87.64365142,"(41.88305802022136, -87.64365142167867)"
May Food Market Inc.,Tobacco Retail Over Counter,Renew,05-16-2013,05-15-2015,05-03-2013,41.87474378,-87.74906289,"(41.87474377581477, -87.74906289088385)"
Permitmaster,Regulated Business License,Issue,12-16-2014,01-15-2017,12-16-2014,41.88462477,-87.61925432,"(41.88462477313731, -87.61925432402666)"
Kat'S Cradle Sleep Consulting,Regulated Business License,Issue,09-04-2013,09-15-2015,09-04-2013,41.97487558,-87.68445077,"(41.97487557943369, -87.68445076568698)"
Challengers,Limited Business License,Renew,11-16-2013,11-15-2015,11-15-2013,41.91542079,-87.68720762,"(41.9154207879664, -87.68720761539967)"
Compensation Consulting Consortium  Llc,Limited Business License,Renew,05-16-2014,05-15-2016,05-14-2014,41.87802578,-87.64923995,"(41.878025780212944, -87.64923994797402)"
Good Stuff Eatery,Retail Food Establishment,Issue,01-21-2015,02-15-2017,01-21-2015,41.88152837,-87.62634253,"(41.88152837257798, -87.62634252535351)"
J.C. Roofing,Regulated Business License,Renew,10-16-2013,10-15-2015,10-15-2013,41.94697637,-87.80199285,"(41.94697637045487, -87.80199284736281)"
Mega Therm Inc,Limited Business License,Renew,11-16-2013,11-15-2015,11-05-2013,41.8954317,-87.72861187,"(41.89543169755136, -87.72861187402734)"
Alex Lopez Salon,Limited Business License,Issue,07-31-2014,08-15-2016,07-31-2014,41.77097331,-87.72271173,"(41.77097330575284, -87.7227117277196)"
Cardozo'S Pub,Consumption on Premises - Incidental Activity,Renew,03-16-2014,03-15-2016,03-12-2014,41.88331726,-87.63302428,"(41.88331726083294, -87.63302428430005)"
"Select Portfolio Servicing, Inc.",Regulated Business License,Renew,05-16-2015,05-15-2017,04-22-2015,,,
Interior Crafts Inc,Manufacturing Establishments,Renew,12-16-2013,12-15-2015,10-29-2013,41.85465518,-87.68897031,"(41.85465518179794, -87.6889703132919)"
Metro Pcs,Limited Business License,Issue,01-09-2015,01-15-2017,01-09-2015,41.73652282,-87.70219329,"(41.73652282087806, -87.70219328783084)"
Popcorn Entertainment,Public Place of Amusement,Issue,02-10-2015,02-15-2017,02-10-2015,41.8552817,-87.63199264,"(41.85528170377401, -87.63199264229414)"
Bye Bye Chicago,Limited Business License,Renew,04-16-2014,04-15-2016,09-11-2014,41.87893738,-87.62448327,"(41.878937382427736, -87.62448327326041)"
Red Star Cobbler Shoe Repair,Limited Business License,Issue,08-29-2014,09-15-2016,08-29-2014,41.90308328,-87.69146702,"(41.90308328077273, -87.69146701782292)"
J & W Food And Liquors,Tobacco Retail Over Counter,Renew,09-16-2013,09-15-2015,10-16-2013,41.67790425,-87.6236403,"(41.67790424878616, -87.62364029502095)"
Cermak Wabash Currency Exchang,Limited Business License,Renew,06-16-2014,06-15-2016,07-03-2014,41.85395238,-87.62537587,"(41.85395237977426, -87.62537587283745)"
Urban Athlete,Limited Business License,Renew,09-16-2014,09-15-2016,07-29-2014,41.96263757,-87.6738592,"(41.96263756772014, -87.67385919503933)"
"John. H. Pinkney, Jr.",Peddler License,Issue,05-31-2013,08-15-2015,05-31-2013,41.86413796,-87.73196708,"(41.86413795672763, -87.73196707688024)"
New Modern Grill Inc,Retail Food Establishment,Renew,02-16-2015,02-15-2017,02-17-2015,41.93993844,-87.6491183,"(41.93993844074498, -87.64911829546907)"
Benchwarmers Sports Bar And Grill,Retail Food Establishment,Renew,11-16-2014,11-15-2016,02-20-2015,41.91075187,-87.6668909,"(41.910751865596865, -87.66689090396886)"
Enameled Steel & Sign Co,Regulated Business License,Renew,08-16-2013,08-15-2015,07-26-2013,41.94629804,-87.74199179,"(41.94629803686002, -87.74199178708382)"
Nirvana Technology Solutions,Limited Business License,Issue,02-11-2014,02-15-2016,02-11-2014,41.87802566,-87.63206229,"(41.878025655260835, -87.63206228626693)"
Kobi Tools,Limited Business License,Issue,02-27-2015,03-15-2017,02-27-2015,41.95289043,-87.7915021,"(41.952890426885034, -87.79150209584523)"
Sacmont Food Mart,Tobacco Retail Over Counter,Renew,03-16-2015,03-15-2017,03-16-2015,41.93925392,-87.70266287,"(41.93925392247789, -87.70266286894167)"
Able Advantage Acquisition,Limited Business License,Issue,04-22-2015,05-15-2017,04-22-2015,41.88452546,-87.63721639,"(41.88452546095621, -87.63721639247488)"
Logan Square Auditorium,Retail Food Establishment,Renew,11-16-2013,11-15-2015,11-06-2013,41.9277306,-87.70708887,"(41.92773060130293, -87.70708886865839)"
Square Deal Shoe Repair,Limited Business License,Issue,12-18-2013,01-15-2016,12-18-2013,41.8013337,-87.6752989,"(41.80133369937997, -87.6752989042753)"
Citgo,Tobacco Retail Over Counter,Renew,10-16-2014,10-15-2016,10-20-2014,41.76561882,-87.61540725,"(41.76561881775355, -87.61540724803734)"
Davis Shoes Inc,Limited Business License,Renew,07-16-2014,07-15-2016,07-14-2014,41.72975964,-87.55110285,"(41.72975963560411, -87.55110284908183)"
Advance Window Cleaners,Limited Business License,Renew,09-16-2014,09-15-2016,02-09-2015,41.87736776,-87.63385357,"(41.87736776237396, -87.63385356749127)"
Pancho' S Ice Cream,Retail Food Establishment,Issue,05-20-2013,06-15-2015,05-20-2013,41.83674602,-87.7265528,"(41.83674601465663, -87.72655279966477)"
Mariano'S Fresh Market #8503,Package Goods,C_Sba,07-09-2014,09-15-2015,07-09-2014,41.88539005,-87.61898671,"(41.88539004666972, -87.61898671163952)"
Premier Telecom,Limited Business License,Renew,05-16-2014,05-15-2016,03-28-2014,41.80104129,-87.68446935,"(41.801041293056706, -87.68446934878779)"
Llomography Embassy Store Chicago,Limited Business License,Issue,01-24-2014,02-15-2016,01-24-2014,41.90771542,-87.67352857,"(41.90771541543215, -87.67352856806646)"
J & J Cooling&Heating Corp.,Limited Business License,Renew,11-16-2013,11-15-2015,11-12-2013,41.96753437,-87.7622194,"(41.96753436822175, -87.76221940017687)"
Super Jalapeno Grill Inc.,Retail Food Establishment,Issue,04-22-2013,05-15-2015,04-22-2013,41.91757216,-87.69985903,"(41.917572160779464, -87.69985903100972)"
Mars Gallery,Limited Business License,Renew,05-16-2014,05-15-2016,03-28-2014,41.88657733,-87.65599107,"(41.88657732519364, -87.65599106599095)"
Vision Jewelry Inc.,Limited Business License,Renew,04-16-2014,04-15-2016,08-07-2014,41.88192156,-87.62606306,"(41.88192156256051, -87.62606305984501)"
Advanced Technical Resources Llc,Limited Business License,Renew,09-16-2014,09-15-2016,08-05-2014,41.89461518,-87.69639197,"(41.8946151795511, -87.69639197268523)"
Brownstone Tavern & Grill,Tobacco Retail Over Counter,Renew,06-16-2014,06-15-2016,06-04-2014,41.95338993,-87.67805669,"(41.95338992735259, -87.67805669448816)"
Sushi O Sushi,Consumption on Premises - Incidental Activity,Renew,04-16-2015,04-15-2017,03-16-2015,41.91844043,-87.63825829,"(41.91844043280386, -87.63825828564545)"
J.J. Peppers Food Store-18Aa,Tobacco Retail Over Counter,Renew,11-16-2013,11-15-2015,11-13-2013,41.93192002,-87.70748917,"(41.931920016194, -87.70748916921342)"
Arya A-1 Auto,Motor Vehicle Services License,Renew,10-16-2014,10-15-2016,09-15-2014,42.00370712,-87.67239353,"(42.00370711987105, -87.6723935249437)"
